Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Probability	Detections	Class
1	Spectrogram 1	1	1201	1213	100	2000	0.99	S11_20180401_060002.wav_1201	GreyGibbon
1	Spectrogram 1	1	1207	1219	100	2000	0.98	S11_20180401_060002.wav_1207	GreyGibbon
2	Spectrogram 1	1	1249	1261	100	2000	1	S11_20180401_060002.wav_1249	GreyGibbon
3	Spectrogram 1	1	1297	1309	100	2000	1	S11_20180401_060002.wav_1297	GreyGibbon
4	Spectrogram 1	1	1351	1363	100	2000	1	S11_20180401_060002.wav_1351	GreyGibbon
5	Spectrogram 1	1	1411	1423	100	2000	1	S11_20180401_060002.wav_1411	GreyGibbon
6	Spectrogram 1	1	1459	1471	100	2000	1	S11_20180401_060002.wav_1459	GreyGibbon
7	Spectrogram 1	1	1519	1531	100	2000	1	S11_20180401_060002.wav_1519	GreyGibbon
8	Spectrogram 1	1	1591	1603	100	2000	0.9	S11_20180401_060002.wav_1591	GreyGibbon
9	Spectrogram 1	1	1645	1657	100	2000	1	S11_20180401_060002.wav_1645	GreyGibbon
10	Spectrogram 1	1	1717	1729	100	2000	1	S11_20180401_060002.wav_1717	GreyGibbon
11	Spectrogram 1	1	1801	1813	100	2000	1	S11_20180401_060002.wav_1801	GreyGibbon
1	Spectrogram 1	1	1807	1819	100	2000	0.98	S11_20180401_060002.wav_1807	GreyGibbon
2	Spectrogram 1	1	1867	1879	100	2000	1	S11_20180401_060002.wav_1867	GreyGibbon
3	Spectrogram 1	1	1945	1957	100	2000	1	S11_20180401_060002.wav_1945	GreyGibbon
1	Spectrogram 1	1	5047	5059	100	2000	0.88	S11_20180401_060002.wav_5047	GreyGibbon
2	Spectrogram 1	1	5257	5269	100	2000	0.95	S11_20180401_060002.wav_5257	GreyGibbon
1	Spectrogram 1	1	5419	5431	100	2000	0.87	S11_20180401_060002.wav_5419	GreyGibbon
2	Spectrogram 1	1	5611	5623	100	2000	0.78	S11_20180401_060002.wav_5611	GreyGibbon
3	Spectrogram 1	1	5719	5731	100	2000	0.64	S11_20180401_060002.wav_5719	GreyGibbon
1	Spectrogram 1	1	6499	6511	100	2000	0.6	S11_20180401_060002.wav_6499	GreyGibbon
