Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Probability	Detections	Class
1	Spectrogram 1	1	2089	2101	100	3000	0.99	R1056_WA_20221102_050002.wav_2089	CrestedGibbon
2	Spectrogram 1	1	2191	2203	100	3000	0.99	R1056_WA_20221102_050002.wav_2191	CrestedGibbon
3	Spectrogram 1	1	2245	2257	100	3000	0.94	R1056_WA_20221102_050002.wav_2245	CrestedGibbon
4	Spectrogram 1	1	2287	2299	100	3000	0.99	R1056_WA_20221102_050002.wav_2287	CrestedGibbon
5	Spectrogram 1	1	2335	2347	100	3000	1	R1056_WA_20221102_050002.wav_2335	CrestedGibbon
6	Spectrogram 1	1	2353	2365	100	3000	0.95	R1056_WA_20221102_050002.wav_2353	CrestedGibbon
7	Spectrogram 1	1	2389	2401	100	3000	0.98	R1056_WA_20221102_050002.wav_2389	CrestedGibbon
8	Spectrogram 1	1	2401	2413	100	3000	0.91	R1056_WA_20221102_050002.wav_2401	CrestedGibbon
1	Spectrogram 1	1	2407	2419	100	3000	0.99	R1056_WA_20221102_050002.wav_2407	CrestedGibbon
2	Spectrogram 1	1	2461	2473	100	3000	0.99	R1056_WA_20221102_050002.wav_2461	CrestedGibbon
3	Spectrogram 1	1	2473	2485	100	3000	0.98	R1056_WA_20221102_050002.wav_2473	CrestedGibbon
4	Spectrogram 1	1	2509	2521	100	3000	0.99	R1056_WA_20221102_050002.wav_2509	CrestedGibbon
5	Spectrogram 1	1	2521	2533	100	3000	0.98	R1056_WA_20221102_050002.wav_2521	CrestedGibbon
6	Spectrogram 1	1	2629	2641	100	3000	1	R1056_WA_20221102_050002.wav_2629	CrestedGibbon
7	Spectrogram 1	1	2707	2719	100	3000	0.99	R1056_WA_20221102_050002.wav_2707	CrestedGibbon
8	Spectrogram 1	1	2767	2779	100	3000	0.98	R1056_WA_20221102_050002.wav_2767	CrestedGibbon
9	Spectrogram 1	1	2821	2833	100	3000	0.91	R1056_WA_20221102_050002.wav_2821	CrestedGibbon
10	Spectrogram 1	1	2845	2857	100	3000	0.95	R1056_WA_20221102_050002.wav_2845	CrestedGibbon
11	Spectrogram 1	1	2881	2893	100	3000	0.99	R1056_WA_20221102_050002.wav_2881	CrestedGibbon
12	Spectrogram 1	1	2899	2911	100	3000	0.98	R1056_WA_20221102_050002.wav_2899	CrestedGibbon
13	Spectrogram 1	1	2983	2995	100	3000	1	R1056_WA_20221102_050002.wav_2983	CrestedGibbon
